0              (id+id)*id$         Shift 4
0(4            id+id)*id$          Shift 5
0(4id5         +id)*id$            Reduce 6
0(4F3          +id)*id$            Reduce 4
0(4T2          +id)*id$            Reduce 2
0(4E8          +id)*id$            Shift 6
0(4E8+6        id)*id$             Shift 5
0(4E8+6id5     )*id$               Reduce 6
0(4E8+6F3      )*id$               Reduce 4
0(4E8+6T9      )*id$               Reduce 1
0(4E8          )*id$               Shift 1
0(4E8)11       *id$                Reduce 5
0F3            *id$                Reduce 4
0T2            *id$                Shift 7
0T2*7          id$                 Shift 5
0T2*7id5       $                   Reduce 6
0T2*7F10       $                   Reduce 3
0T2            $                   Reduce 2
0E1            $                   Reduce C
